    "Content-UUID","URL","Term","Definition","Data-Type","Unit-of-Measure","Category","Sector","Updated-Date"
"b3982f93-0868-4959-a6aa-bca5f6956947","https://bedes.lbl.gov/node/b3982f93-0868-4959-a6aa-bca5f6956947","Assessment Compliance Target Date","Date a premises is expected to achieve assessment recognition, including in the appropriate cases, third party verification
","TimeStamp","YYYY-MM-DD","Premises","Commercial, Residential, Multifamily","2019-12-06 11:39:23"
"1d87e8ff-747e-4a30-8342-e43b96e53bd4","https://bedes.lbl.gov/node/1d87e8ff-747e-4a30-8342-e43b96e53bd4","Assessment Eligibility","Eligibility of a premises for assessment recognition.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-27 16:57:34"
"3690b215-2550-4f3a-91f3-8714b0ef242d","https://bedes.lbl.gov/node/3690b215-2550-4f3a-91f3-8714b0ef242d","Assessment Level","Value from assessment programs that produce a descriptive (rather than numeric) rating, such as LEED or NGBS.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-12-09 10:20:42"
"ad6bed68-892c-4078-870e-958b41953f8d","https://bedes.lbl.gov/node/ad6bed68-892c-4078-870e-958b41953f8d","Assessment Program","Program which issues energy labels, ratings, or sustainability certifications.
","Constrained List","n/a","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"f0f367dc-2e4d-472d-8da6-291bfa0b1858","https://bedes.lbl.gov/node/f0f367dc-2e4d-472d-8da6-291bfa0b1858","Assessment Program Organization","The name of the body or group providing the verification or certification assessment program. More than one can apply to a premises. 
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"a7e4fe25-935e-42f2-9c47-464df0dbf473","https://bedes.lbl.gov/node/a7e4fe25-935e-42f2-9c47-464df0dbf473","Assessment Program URL","A link to the specific rating or scoring details for the premises directly from and hosted by the sponsoring body of the program. Typically provides thorough details; for example, which points were achieved and how, or in the case of a score what specifically was tested and the results.
","String","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"b88de7bc-e2fd-4aa2-a76a-d6ef4038208e","https://bedes.lbl.gov/node/b88de7bc-e2fd-4aa2-a76a-d6ef4038208e","Assessment Recognition","Different rating systems within an Assessment Program.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"07280759-7791-4d30-bcdb-4ba066222a70","https://bedes.lbl.gov/node/07280759-7791-4d30-bcdb-4ba066222a70","Assessment Recognition Status","Status of recognition for an assessment program.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"eeebe0a4-1102-45a0-8640-3b5cbed2a5d3","https://bedes.lbl.gov/node/eeebe0a4-1102-45a0-8640-3b5cbed2a5d3","Assessment Recognition Status Date","Date when assessment recognition status first applied.
","TimeStamp","YYYY-MM-DD","Premises","Commercial, Residential, Multifamily","2019-12-06 11:40:00"
"de020bd3-d8df-47d9-a283-07ff78275c84","https://bedes.lbl.gov/node/de020bd3-d8df-47d9-a283-07ff78275c84","Assessment Recognition Type","Type of recognition awarded through assessment program.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"61ea146e-87b7-4741-b7b1-a98e6e78180d","https://bedes.lbl.gov/node/61ea146e-87b7-4741-b7b1-a98e6e78180d","Assessment Tool","Tools that provide a performance ranking based on a peer group of similar buildings.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"aa5e89bc-2db3-4aeb-8018-35fdfb58923b","https://bedes.lbl.gov/node/aa5e89bc-2db3-4aeb-8018-35fdfb58923b","Assessment Value","Value from assessment programs that produce a numeric metric, such as Energy Star Score, Home Energy Rating System (HERS) Index Score, Home Energy Score
","Decimal","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"69cb8f56-8e45-4975-9dbb-6d46eaea26c2","https://bedes.lbl.gov/node/69cb8f56-8e45-4975-9dbb-6d46eaea26c2","Assessment Version","Version of the assessment documentation, such as ""2.0""
","String","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"4c521191-18e1-47c3-8992-0921c4b571ec","https://bedes.lbl.gov/node/4c521191-18e1-47c3-8992-0921c4b571ec","Assessment Year","Year the assessment qualifications for recognition were documented.
","TimeStamp","YYYY","Premises","Commercial, Residential, Multifamily","2019-12-06 11:34:35"
"cdc30487-ab99-47fc-8261-542485d5f7fc","https://bedes.lbl.gov/node/cdc30487-ab99-47fc-8261-542485d5f7fc","Benchmark Peer Group","The group of buildings that the premises in question is being compared against.
","String","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"56a772bf-a897-4314-9941-9e3ec4a00985","https://bedes.lbl.gov/node/56a772bf-a897-4314-9941-9e3ec4a00985","Benchmark Percentile","Assessed percentile standing for the premises relative to benchmarking peer group.
","Decimal","percent","Premises","Commercial, Residential, Multifamily","2019-12-06 11:52:34"
"5754de30-8e41-4c01-95f8-325cb09d3f33","https://bedes.lbl.gov/node/5754de30-8e41-4c01-95f8-325cb09d3f33","Benchmark Type","The type of benchmark being used
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"38fc1ccd-f07f-4146-8227-7a753d5d33cf","https://bedes.lbl.gov/node/38fc1ccd-f07f-4146-8227-7a753d5d33cf","Builder Model","The builders model name or number for the property.
","String","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"d0de2bc2-523d-4adf-bb04-0ccb5176b68e","https://bedes.lbl.gov/node/d0de2bc2-523d-4adf-bb04-0ccb5176b68e","Class Height","Vertical extrapolation of wind speed based on the 1/7 power law
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"af2178d7-3ed1-456d-af87-3decc69dd233","https://bedes.lbl.gov/node/af2178d7-3ed1-456d-af87-3decc69dd233","Climate Zone","Based on the Climate Zone Type term, this is the climate zone designation. For example, if the Climate Zone Type is ASHRAE, and the climate zone for this site fell into the Hot - Humid zone, this term would have the value of ""2A"".
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"83d301d1-3e81-4213-a3a8-c09d1e75337a","https://bedes.lbl.gov/node/83d301d1-3e81-4213-a3a8-c09d1e75337a","Climate Zone Type","The climate zone type, based on the organization defining it. Many different organizations have implemented different climate zone definitions based on their needs. The list below represents the current list. This list can be added to over time based on the collaborative BEDES development process.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"82d70db7-2d3d-4d6f-bcba-b8e76789d383","https://bedes.lbl.gov/node/82d70db7-2d3d-4d6f-bcba-b8e76789d383","Construction Status","Indicates whether the premises is in design or in existing operation.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"9b5394a5-48bf-46b0-af2e-6fb0fe6e8cdb","https://bedes.lbl.gov/node/9b5394a5-48bf-46b0-af2e-6fb0fe6e8cdb","Construction Status Date","Date when the construction status first applied.
","TimeStamp","YYYY-MM-DD","Premises","Commercial, Residential, Multifamily","2019-12-06 11:41:15"
"d37a9012-13cb-4cf5-8a8f-77d7f924643e","https://bedes.lbl.gov/node/d37a9012-13cb-4cf5-8a8f-77d7f924643e","Distance To Freeway","Distance from property to the nearest freeway.
","Decimal","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"b24563d1-03b2-4cfb-97e3-bcfc53eb97a3","https://bedes.lbl.gov/node/b24563d1-03b2-4cfb-97e3-bcfc53eb97a3","Distance To Public Transportation","Distance from premises to the nearest public transportation.
","Decimal","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"e5670c0b-b0aa-4554-b828-7aefecadcff4","https://bedes.lbl.gov/node/e5670c0b-b0aa-4554-b828-7aefecadcff4","Earthquake Zone","If the property is in an earthquake zone, what is the source of the zone designation.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"1c03bd87-9df9-42e9-abf6-f16e2e3b3092","https://bedes.lbl.gov/node/1c03bd87-9df9-42e9-abf6-f16e2e3b3092","eGRID Region Code","The eGRID (Emissions and Generation Resource Database) region code associated with the data being described.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"6e87efc6-9efa-40a0-8692-6b9c3d009776","https://bedes.lbl.gov/node/6e87efc6-9efa-40a0-8692-6b9c3d009776","Elevation","The elevation (distance above sea level) at the site.
","Decimal","ft","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"68406864-e6ac-4ed1-b5f1-45c55b0ea452","https://bedes.lbl.gov/node/68406864-e6ac-4ed1-b5f1-45c55b0ea452","Energy Metered Premises","Designation of what areas within the premises are covered by energy meters.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"83a7940f-046b-4b7a-b4f4-382e156c0d9e","https://bedes.lbl.gov/node/83a7940f-046b-4b7a-b4f4-382e156c0d9e","Federal Sustainability Checklist Completion Percentage","Percentage of the Federal High Performance sustainability Checklist that has been completed for federal building in Portfolio Manager.
","Decimal","percent","Premises","Commercial, Residential, Multifamily","2019-12-06 11:53:23"
"d3649974-1a49-4f8c-af61-3bee0fe6a113","https://bedes.lbl.gov/node/d3649974-1a49-4f8c-af61-3bee0fe6a113","Finished Status","The condition of the premises relative to the amount of work that has been done to the components and surfaces.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"13d6b9ea-fbbe-485b-82b0-00239fbd55d2","https://bedes.lbl.gov/node/13d6b9ea-fbbe-485b-82b0-00239fbd55d2","Fire Hazard Severity Zone","Fire hazard severity zone rating
","Constrained List","n/a","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"fc5e11e3-4d96-4b70-8985-8685dc38e657","https://bedes.lbl.gov/node/fc5e11e3-4d96-4b70-8985-8685dc38e657","Flood Zone","If the property is in a flood zone, what is the source of the zone designation.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"468fbd28-7043-45fb-8287-9e4ee2efbe6d","https://bedes.lbl.gov/node/468fbd28-7043-45fb-8287-9e4ee2efbe6d","Floor Area Qualifier","Floor area can be defined and described in many different ways for different purposes. This type field allows multiple types of floor area definitions to exist in the same dataset.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"0e80b915-7bac-4c73-a38d-5d6a1589325a","https://bedes.lbl.gov/node/0e80b915-7bac-4c73-a38d-5d6a1589325a","Floor Height Measurement","The method for measuring each floor level, or story, in a premises.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"b3310882-4147-4437-a1ca-84f3b0b6fdfd","https://bedes.lbl.gov/node/b3310882-4147-4437-a1ca-84f3b0b6fdfd","Ground Reflectance","Reflectivity of the ground. Legal values: 0-1
","Decimal","N/A","Premises","Commercial, Residential, Multifamily","2019-12-06 11:23:41"
"0698bc5a-c677-4937-a364-0c7f2047631f","https://bedes.lbl.gov/node/0698bc5a-c677-4937-a364-0c7f2047631f","Height Classification","Classification of height of a structure in number of strories
","Constrained List","N/A","Premises","","2019-11-26 17:28:02"
"c819129f-1853-41e3-8373-6981f3dc7a88","https://bedes.lbl.gov/node/c819129f-1853-41e3-8373-6981f3dc7a88","Height Distribution","Description of height variations in the premises.
","Constrained List","N/A","Premises","Commercial, Multifamily","2019-11-26 17:24:58"
"3d8f4d75-8578-46ef-8d4c-e94b00be54fa","https://bedes.lbl.gov/node/3d8f4d75-8578-46ef-8d4c-e94b00be54fa","Highest Level Of Occupant Education","Highest education level of the household occupants.
","Constrained List","N/A","Premises","Residential, Multifamily","2019-11-26 17:24:58"
"5a9ab0c4-effd-408b-bc42-be7e667159f9","https://bedes.lbl.gov/node/5a9ab0c4-effd-408b-bc42-be7e667159f9","Hurricane Zone","Designation of the premises relative to a Hurricane Zone.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"fb871c36-a226-4297-b674-319455f05f83","https://bedes.lbl.gov/node/fb871c36-a226-4297-b674-319455f05f83","Identifier","A unique value associated with an Identifier Label or other qualifier.
","String","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"224f52fa-2b57-4a3e-8956-2c94bd1996be","https://bedes.lbl.gov/node/224f52fa-2b57-4a3e-8956-2c94bd1996be","Identifier Label","Identifier qualifier used in a specific program or dataset. There can be multiple instances of Identifier Labels and associated Identifiers within a given dataset, such as a Listing Identifier, a Project Identifier, or a Custom Identifier.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"8eef0220-ec78-49c0-a666-7f4cc100957e","https://bedes.lbl.gov/node/8eef0220-ec78-49c0-a666-7f4cc100957e","IECC Year","For Climate Zone Type = IECC, the year of the IECC used for that climate zone definition.
","TimeStamp","YYYY","Premises","Commercial, Residential, Multifamily","2019-12-06 11:35:50"
"913d4b10-bf26-4c0d-b662-699c339c3ad6","https://bedes.lbl.gov/node/913d4b10-bf26-4c0d-b662-699c339c3ad6","Latitude","Distance north or south of the equator measured in degrees up to 90 degrees.
","Decimal","deg","Premises","Commercial, Residential, Multifamily","2019-12-06 11:54:00"
"ca250b43-5ac8-4cec-86cb-25ed586d1d29","https://bedes.lbl.gov/node/ca250b43-5ac8-4cec-86cb-25ed586d1d29","Lighting Status","Description of the how much of the premises is illuminated by daylight during the day.
","Constrained List","N/A","Premises","Commercial, Residential, Multifamily","2019-11-26 17:24:58"
"b263d4b0-0f00-48fd-a750-3e8d610bdb98","https://bedes.lbl.gov/node/b263d4b0-0f00-48fd-a750-3e8d610bdb98","Longitude","Distance measured in degrees east or west from an imaginary line (called the prime meridian) that goes from the North Pole to the South Pole and that passes through Greenwich, England.
","Decimal","deg","Premises","Commercial, Residential, Multifamily","2019-12-06 11:54:16"
"48fe39ef-e054-4e9a-aa6f-ab3a3c106d50","https://bedes.lbl.gov/node/48fe39ef-e054-4e9a-aa6f-ab3a3c106d50","Market Threshold","Purchase pricing threshold within which a property falls 
","Constrained List","n/a","Premises","Commercial, Residential, Multifamily","2019-11-26 17:28:02"
"92597db5-170e-40a8-94d3-58c4fec2e147","https://bedes.lbl.gov/node/92597db5-170e-40a8-94d3-58c4fec2e147","NAICS Code","North American Industry Classification System code.
","String","N/A","Premises","Commercial, Multifamily","2019-11-26 17:24:58"
